"ft_dem","ft_rep","race","income","sex","white","black","hispanic","other","vote_obama"
85,0,2,14,0,0,1,0,0,1
70,60,2,9,0,0,1,0,0,1
85,60,2,9,0,0,1,0,0,1
60,45,4,28,0,0,0,0,1,1
100,0,2,19,1,0,1,0,0,1
100,5,2,7,1,0,1,0,0,1
100,50,2,13,1,0,1,0,0,1
100,0,2,19,1,0,1,0,0,1
70,30,4,5,0,0,0,0,1,1
85,60,2,2,1,0,1,0,0,1
50,50,3,8,1,0,0,1,0,1
60,60,3,13,1,0,0,1,0,0
0,100,3,12,0,0,0,1,0,0
85,15,3,1,1,0,0,1,0,1
70,60,3,22,1,0,0,1,0,1
60,60,3,3,0,0,0,1,0,1
50,60,3,13,1,0,0,1,0,0
60,40,3,12,1,0,0,1,0,0
100,60,3,27,0,0,0,1,0,1
100,20,3,5,1,0,0,1,0,1
100,0,2,9,1,0,1,0,0,1
100,0,2,5,1,0,1,0,0,1
85,0,2,5,1,0,1,0,0,1
50,50,2,9,0,0,1,0,0,1
100,0,4,7,1,0,0,0,1,1
60,15,2,3,0,0,1,0,0,1
85,40,2,18,1,0,1,0,0,1
85,0,1,16,1,1,0,0,0,1
70,40,3,23,1,0,0,1,0,1
95,50,3,10,0,0,0,1,0,1
40,70,3,19,0,0,0,1,0,0
70,30,3,15,0,0,0,1,0,1
100,60,3,17,0,0,0,1,0,1
100,15,3,8,1,0,0,1,0,1
85,50,4,11,1,0,0,0,1,1
60,85,3,12,1,0,0,1,0,0
85,60,3,22,0,0,0,1,0,1
50,50,1,22,1,1,0,0,0,0
0,70,3,9,0,0,0,1,0,0
0,60,3,15,1,0,0,1,0,0
0,70,4,13,0,0,0,0,1,0
86,50,3,12,0,0,0,1,0,1
80,50,3,10,0,0,0,1,0,1
85,0,3,14,1,0,0,1,0,1
60,0,3,10,1,0,0,1,0,1
50,85,3,13,1,0,0,1,0,0
70,30,3,3,0,0,0,1,0,1
100,50,3,18,1,0,0,1,0,1
60,0,2,12,0,0,1,0,0,1
-9,-9,2,6,1,0,1,0,0,1
100,0,3,9,1,0,0,1,0,1
100,0,3,9,1,0,0,1,0,1
85,60,3,12,1,0,0,1,0,1
70,0,1,23,1,1,0,0,0,1
